permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date,eps_prediction_error,eps_direction_correct
22103,EMR,EMERSON ELECTRIC,LONG,4,0.085767871875,0.3430714875,1.0,14.98437425253536,1.025,2015-10-01,2023-11-01,13.95937425253536,True
27430,CTB,COOPER TIRE,LONG,1,0.004785852,0.004785852,1.0,11.306035388370244,1.04,2015-11-01,2015-11-01,10.266035388370245,True
18411,SO,SOUTHERN CO,LONG,15,-0.0021953389399999956,-0.03293008409999994,0.4666666666666667,13.021514028192213,0.808,2015-11-01,2021-05-01,12.213514028192213,True
13124,LPI,LAREDO PETROLEUM,SHORT,14,-0.001114506907142859,-0.015603096700000027,0.6428571428571429,-16.7471946505681,2.414285714285714,2015-11-01,2017-05-01,19.161480364853816,False
14408,RSPP,RSP PERMIAN,SHORT,9,-0.03353322722222222,-0.301799045,0.3333333333333333,-14.673663842170905,0.11333333333333334,2015-11-01,2017-09-01,14.786997175504238,False
93312,SSNC,SS&C TECHNOLOGIE,SHORT,3,0.05759069766666666,0.172772093,1.0,-16.531789891056963,0.3633333333333333,2015-11-01,2016-02-01,16.895123224390296,False
13377,PFPT,PROOFPOINT INC,SHORT,18,-0.03653588373888889,-0.6576459073,0.2777777777777778,-14.750118108107309,0.12444444444444445,2015-11-01,2018-05-01,14.874562552551753,False
21020,AAL,AMERICAN AIRLINE,LONG,3,0.010481664666666666,0.031444994,1.0,12.766193470052206,1.6366666666666667,2015-12-01,2016-12-01,11.12952680338554,True
21020,AAL,AMERICAN AIRLINE,SHORT,2,0.0429585995,0.085917199,1.0,-19.337292238386503,-0.99,2021-08-01,2021-10-01,18.347292238386505,True
85663,URI,UNITED RENTALS,LONG,5,0.067291679,0.33645839499999997,0.6,13.026124379310478,2.18,2015-12-01,2017-01-01,10.846124379310478,True
91926,DAL,DELTA AIR LINES,LONG,25,-0.007631800295999996,-0.1907950073999999,0.52,13.41820568222246,1.3028,2015-12-01,2020-03-01,12.11540568222246,True
92570,DAN,DANA HLDG CORP,LONG,1,-0.160683958,-0.160683958,0.0,12.411998566334418,0.34,2015-12-01,2015-12-01,12.071998566334418,True
59045,KEX,KIRBY CORP,LONG,2,-0.060371363000000004,-0.12074272600000001,0.5,11.800054649497866,0.855,2015-12-01,2016-03-01,10.945054649497866,True
84375,TEN,TENNECO,LONG,1,-0.148021324,-0.148021324,0.0,12.059371649244609,1.39,2015-12-01,2015-12-01,10.669371649244608,True
