year,month,long_turnover,short_turnover,overall_turnover,rebalanced
2020,10,0.31999999999999995,0.36,0.33999999999999997,True
2020,11,0.31999999999999995,0.30000000000000004,0.31,True
2020,12,0.30000000000000004,0.31999999999999995,0.31,True
2021,1,0.4,0.4,0.4,True
2021,2,0.26,0.30000000000000004,0.28,True
2021,3,0.36,0.4,0.38,True
2021,4,0.42000000000000004,0.42000000000000004,0.42000000000000004,True
2021,5,0.38,0.36,0.37,True
2021,6,0.26,0.28,0.27,True
2021,7,0.36,0.31999999999999995,0.33999999999999997,True
2021,8,0.36,0.33999999999999997,0.35,True
2021,9,0.4,0.4,0.4,True
2021,10,0.4,0.43999999999999995,0.42,True
2021,11,0.43999999999999995,0.42000000000000004,0.43,True
2021,12,0.4,0.36,0.38,True
2022,1,0.43999999999999995,0.45999999999999996,0.44999999999999996,True
2022,2,0.45999999999999996,0.45999999999999996,0.45999999999999996,True
2022,3,0.38,0.33999999999999997,0.36,True
2022,4,0.30000000000000004,0.30000000000000004,0.30000000000000004,True
2022,5,0.38,0.36,0.37,True
2022,6,0.4,0.43999999999999995,0.42,True
2022,7,0.43999999999999995,0.4,0.42,True
2022,8,0.4,0.36,0.38,True
2022,9,0.21999999999999997,0.24,0.22999999999999998,True
2022,10,0.4,0.4,0.4,True
2022,11,0.43999999999999995,0.43999999999999995,0.43999999999999995,True
2022,12,0.28,0.28,0.28,True
2023,1,0.24,0.24,0.24,True
2023,2,0.36,0.33999999999999997,0.35,True
2023,3,0.33999999999999997,0.31999999999999995,0.32999999999999996,True
2023,4,0.33999999999999997,0.31999999999999995,0.32999999999999996,True
2023,5,0.28,0.28,0.28,True
2023,6,0.21999999999999997,0.21999999999999997,0.21999999999999997,True
2023,7,0.21999999999999997,0.19999999999999996,0.20999999999999996,True
2023,8,0.33999999999999997,0.31999999999999995,0.32999999999999996,True
2023,9,0.21999999999999997,0.19999999999999996,0.20999999999999996,True
2023,10,0.38,0.38,0.38,True
2023,11,0.30000000000000004,0.31999999999999995,0.31,True
2023,12,0.26,0.24,0.25,True
