year,month,date,long_portfolio,short_portfolio,long_short_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,rf,sp_ret,date_y
2011,3,2011-03-01,-0.008868553001999999,-0.006514960924000001,-0.002353592077999998,50,50,100,True,0.0001,-0.001047,2011-03-01
2011,4,2011-04-01,0.037953879610000005,0.019018776554,0.018935103056000005,50,50,100,True,0.0,0.028495,2011-04-01
2011,5,2011-05-01,-0.011074556925999998,-0.015765324638,0.0046907677120000026,50,50,100,True,0.0,-0.013501,2011-05-01
2011,6,2011-06-01,-0.013602104314000003,-0.021496233349999998,0.007894129035999994,50,50,100,True,0.0,-0.018258,2011-06-01
2011,7,2011-07-01,-0.031969384528,-0.022366027452000004,-0.009603357075999998,50,50,100,True,0.0,-0.021474,2011-07-01
2011,8,2011-08-01,-0.058023272494,-0.06323384809,0.005210575596000001,50,50,100,True,0.0001,-0.056791,2011-08-01
2011,9,2011-09-01,-0.062008265832,-0.07767956614199999,0.01567130030999999,50,50,100,True,0.0,-0.071762,2011-09-01
2011,10,2011-10-01,0.11064432919200001,0.11821439301200001,-0.00757006382,50,50,100,True,0.0,0.107723,2011-10-01
2011,11,2011-11-01,0.009285299324,-0.01934738331,0.028632682634,50,50,100,True,0.0,-0.005059,2011-11-01
2011,12,2011-12-01,0.02359867825,-0.005647716303999999,0.029246394554,50,50,100,True,0.0,0.008533,2011-12-01
2012,1,2012-01-01,0.08475812182600001,0.016580813562000002,0.06817730826400001,50,50,100,True,0.0,0.043583,2012-01-01
2012,2,2012-02-01,0.047972407175999994,0.035690625309999995,0.012281781866,50,50,100,True,0.0,0.040589,2012-02-01
2012,3,2012-03-01,0.04022834343599999,0.023038505982,0.017189837453999993,50,50,100,True,0.0,0.031332,2012-03-01
2012,4,2012-04-01,-0.01019771542,-0.0010221628279999998,-0.009175552592,50,50,100,True,0.0,-0.007497,2012-04-01
2012,5,2012-05-01,-0.093202769282,-0.033834280102,-0.05936848918,50,50,100,True,0.0001,-0.062651,2012-05-01
2012,6,2012-06-01,0.035483645618,0.044961880175999995,-0.009478234557999995,50,50,100,True,0.0,0.039555,2012-06-01
2012,7,2012-07-01,-0.006325324966000001,0.021654353066000002,-0.027979678032,50,50,100,True,0.0,0.012598,2012-07-01
2012,8,2012-08-01,0.049228235710000005,0.0073506325700000005,0.041877603140000004,50,50,100,True,0.0001,0.019763,2012-08-01
2012,9,2012-09-01,0.031151100802,0.01931120489,0.011839895912,50,50,100,True,0.0001,0.024236,2012-09-01
2012,10,2012-10-01,0.002330058009999999,-0.011250930288,0.013580988297999998,50,50,100,True,0.0001,-0.019789,2012-10-01
2012,11,2012-11-01,0.0016950996959999994,0.0018793268019999998,-0.00018422710600000036,50,50,100,True,0.0001,0.002847,2012-11-01
2012,12,2012-12-01,0.03900506820000001,0.0011357422599999993,0.03786932594000002,50,50,100,True,0.0001,0.007068,2012-12-01
2013,1,2013-01-01,0.064115506302,0.062275978410000016,0.0018395278919999813,50,50,100,True,0.0,0.050428,2013-01-01
2013,2,2013-02-01,0.008006582152000001,0.020130817016,-0.012124234863999998,50,50,100,True,0.0,0.011061,2013-02-01
2013,3,2013-03-01,0.043526250544,0.037566734546,0.005959515998000001,50,50,100,True,0.0,0.035988,2013-03-01
2013,4,2013-04-01,0.023085697844,0.018814490882,0.004271206962,50,50,100,True,0.0,0.018086,2013-04-01
2013,5,2013-05-01,0.043460203813999995,0.023080040858000004,0.02038016295599999,50,50,100,True,0.0,0.020763,2013-05-01
2013,6,2013-06-01,-0.01797220108,-0.005722446522,-0.012249754558,50,50,100,True,0.0,-0.014999,2013-06-01
2013,7,2013-07-01,0.049721103598,0.048567495704,0.001153607894,50,50,100,True,0.0,0.049462,2013-07-01
2013,8,2013-08-01,-0.027613344376,-0.033996267206,0.0063829228299999985,50,50,100,True,0.0,-0.031298,2013-08-01
2013,9,2013-09-01,0.034384322714,0.030530592216000005,0.003853730497999995,50,50,100,True,0.0,0.029749,2013-09-01
2013,10,2013-10-01,0.053211114219999994,0.04475275709000001,0.008458357129999983,50,50,100,True,0.0,0.044596,2013-10-01
2013,11,2013-11-01,0.031270230934,0.029896999076,0.001373231858,50,50,100,True,0.0,0.028049,2013-11-01
2013,12,2013-12-01,0.026870159864,0.026363697148,0.0005064627160000015,50,50,100,True,0.0,0.023563,2013-12-01
2014,1,2014-01-01,-0.032249346758,-0.032946622184,0.0006972754259999964,50,50,100,True,0.0,-0.035583,2014-01-01
2014,2,2014-02-01,0.045855206075999994,0.047943671424,-0.0020884653480000084,50,50,100,True,0.0,0.043117,2014-02-01
2014,3,2014-03-01,0.02525768221,0.013477010874000002,0.011780671335999998,50,50,100,True,0.0,0.006932,2014-03-01
2014,4,2014-04-01,0.010526264313999998,0.0002119261520000011,0.010314338161999998,50,50,100,True,0.0,0.006201,2014-04-01
2014,5,2014-05-01,0.017953867292000002,0.016064360702,0.0018895065900000028,50,50,100,True,0.0,0.02103,2014-05-01
2014,6,2014-06-01,0.021770907561999998,0.017523668214,0.004247239347999997,50,50,100,True,0.0,0.019058,2014-06-01
2014,7,2014-07-01,-0.016965192052,-0.008220998768,-0.008744193283999998,50,50,100,True,0.0,-0.01508,2014-07-01
2014,8,2014-08-01,0.033004570042,0.034211767736,-0.0012071976940000034,50,50,100,True,0.0,0.037655,2014-08-01
2014,9,2014-09-01,-0.013984533128,-0.004946495161999999,-0.009038037966000001,50,50,100,True,0.0,-0.015514,2014-09-01
2014,10,2014-10-01,0.029845987065999998,0.018861196466000003,0.010984790599999995,50,50,100,True,0.0,0.023201,2014-10-01
2014,11,2014-11-01,0.039374902504000005,0.021930874778,0.017444027726000004,50,50,100,True,0.0,0.024534,2014-11-01
2014,12,2014-12-01,0.010923167864,-0.0008171743799999997,0.011740342243999998,50,50,100,True,0.0,-0.004189,2014-12-01
2015,1,2015-01-01,-0.022940293958,-0.05223613192599999,0.02929583796799999,50,50,100,True,0.0,-0.031041,2015-01-01
2015,2,2015-02-01,0.05907184567599999,0.056758129676,0.0023137159999999865,50,50,100,True,0.0,0.054893,2015-02-01
2015,3,2015-03-01,-0.011809043830000003,-0.019176050064,0.007367006233999997,50,50,100,True,0.0,-0.017396,2015-03-01
2015,4,2015-04-01,0.008058225787999999,0.0028008833859999994,0.005257342401999999,50,50,100,True,0.0,0.008521,2015-04-01
2015,5,2015-05-01,0.008921722258000002,0.010644866518,-0.0017231442599999983,50,50,100,True,0.0,0.010491,2015-05-01
2015,6,2015-06-01,-0.029810244019999998,-0.009012052092000001,-0.020798191927999997,50,50,100,True,0.0,-0.021012,2015-06-01
2015,7,2015-07-01,0.008791938420000001,0.025545905345999997,-0.016753966925999994,50,50,100,True,0.0,0.019742,2015-07-01
2015,8,2015-08-01,-0.052141248961999995,-0.07458539232,0.022444143358000004,50,50,100,True,0.0,-0.062581,2015-08-01
2015,9,2015-09-01,-0.034967202862,-0.020852087257999998,-0.014115115604000004,50,50,100,True,0.0,-0.026443,2015-09-01
2015,10,2015-10-01,0.068122380774,0.08536796991,-0.017245589135999995,50,50,100,True,0.0,0.082983,2015-10-01
2015,11,2015-11-01,0.014056661932000001,-0.0031078186420000005,0.017164480574000003,50,50,100,True,0.0,0.000505,2015-11-01
